Product_ID,Brand_Name,Product_Name,Category,Sub_Category,Shade/Variant,Price_INR,Launch_Year,Average_Rating,Total_Units_Sold,Total_Revenue_INR,Num_Customers,Avg_Customer_Age,Female_%,Top_City,Top_Campaign,Campaign_Start,Campaign_End,Campaign_Channel,Campaign_Spend_INR,Campaign_Discount_%,Conversion_Rate_%,Brand_Popularity_Score
P0027,Mamaearth,Mamaearth Lipstick Shine X,Lips,Lipstick,Mauve 14,249,2019,4,2150,535350,747,22,75.3,Delhi,Bogo Offer,03-12-2023,17-12-2023,Social Commerce,575829,15,4.15,76.56
P0028,Mamaearth,Mamaearth Mascara Shine +,Eyes,Mascara,Ruby 19,699,2022,4.32,1823,1274277,1167,26,71.9,Mumbai,Bogo Offer,28-01-2023,11-02-2023,Retail (Nykaa),4472647,0,3.66,81.31
P0029,Kay Beauty,Kay Beauty Blush Pro Luxe,Face,Blush,Mauve 3,849,2021,4.32,1684,1429716,712,23,63.8,Bengaluru,Seasonal Drop,22-11-2024,06-12-2024,Retail (Nykaa),1401116,10,2.57,76.58
P0030,Nykaa Cosmetics,Nykaa Cosmetics Foundation Glow HD,Face,Foundation,Ruby 5,399,2025,3.99,1402,559398,420,36,84.6,Pune,Nykaa Exclusive,15-11-2025,06-12-2025,Social Commerce,1104880,30,3.1,72.86
P0031,Nykaa Cosmetics,Nykaa Cosmetics Kajal Matte X,Eyes,Kajal,Mauve 14,599,2022,4.28,1773,1062027,815,21,64,Mumbai,Influencer Push,16-06-2025,31-07-2025,Retail (Nykaa),562386,0,0.8,77.73
P0032,Mamaearth,Mamaearth Kajal Shine Luxe,Eyes,Kajal,Coral 14,1199,2024,4.04,1547,1854853,518,33,64.2,Jaipur,Seasonal Drop,08-03-2025,29-03-2025,E-commerce,4173244,20,2.6,74.81
P0033,Nykaa Cosmetics,Nykaa Cosmetics Lip Gloss Pro +,Lips,Lip Gloss,Ruby 8,699,2023,4.36,1852,1294548,697,32,70.7,Bengaluru,Festive Sale,31-03-2025,21-04-2025,Retail (Nykaa),2303067,5,4.87,76.59
P0034,Forest Essentials,Forest Essentials Eyeshadow Matte Air,Eyes,Eyeshadow,Spice 1,499,2023,4.43,1627,811873,555,36,63.1,Chennai,Influencer Push,04-08-2023,03-09-2023,E-commerce,4167017,0,2.25,79.89
P0035,Nykaa Cosmetics,Nykaa Cosmetics Highlighter Glow HD,Face,Highlighter,Berry 4,1199,2022,4.01,1584,1899216,580,24,87.4,Mumbai,Festive Sale,11-09-2025,18-09-2025,E-commerce,4635811,30,2.65,75.09
P0036,Lakmé,Lakmé Compact Pro HD,Face,Compact,Ruby 9,1199,2021,4.36,1722,2064678,515,28,77.7,Bengaluru,Launch Promo,21-07-2023,20-08-2023,Retail (Store),3302894,0,3.13,82.36
P0037,Lakmé,Lakmé Compact Prime HD,Face,Compact,Coral 17,1199,2018,4.25,1926,2309274,1228,29,69.3,Jaipur,Nykaa Exclusive,23-10-2024,06-11-2024,E-commerce,3820519,0,5.51,76.87
P0038,Nykaa Cosmetics,Nykaa Cosmetics Kajal Pro Air,Eyes,Kajal,Scarlet 19,2999,2018,4.02,2125,6372875,1302,26,75.7,Hyderabad,Festive Sale,04-08-2025,03-09-2025,E-commerce,4927934,30,1.97,78.95
P0039,Lakmé,Lakmé Compact Matte X,Face,Compact,Scarlet 18,699,2022,4.48,1631,1140069,581,22,67.1,Mumbai,Seasonal Drop,24-03-2025,14-04-2025,Marketplace,5011264,0,3.44,78.95
P0040,Lakmé,Lakmé Lip Balm Glow Air,Lips,Lip Balm,Nude 4,249,2024,4.24,1764,439236,559,26,84.9,Bengaluru,Seasonal Drop,23-06-2025,07-07-2025,Social Commerce,1199113,30,4.56,77.04
P0041,Kay Beauty,Kay Beauty Highlighter Artist X,Face,Highlighter,Coral 19,2999,2020,4.84,1720,5158280,542,31,89.5,Chennai,Bogo Offer,01-09-2024,16-10-2024,E-commerce,5038070,0,5.85,87.5
P0042,Kay Beauty,Kay Beauty Eyeliner Shine +,Eyes,Eyeliner,Spice 6,799,2020,3.87,1969,1573231,743,26,83.1,Hyderabad,Festive Sale,16-10-2025,06-11-2025,E-commerce,596916,20,0.66,75.45
P0043,Sugar Cosmetics,Sugar Cosmetics Lip Liner Pro HD,Lips,Lip Liner,Scarlet 8,299,2025,4.43,1596,477204,782,27,76.2,Delhi,Influencer Push,15-08-2025,05-09-2025,Retail (Nykaa),1737795,20,1.53,80.5
P0044,Kay Beauty,Kay Beauty Compact Pro HD,Face,Compact,Nude 18,499,2018,4.22,2064,1029936,1209,32,88.9,Jaipur,Launch Promo,12-01-2023,02-02-2023,Retail (Store),4619450,20,4.05,75.59
P0045,Mamaearth,Mamaearth Compact Pro Luxe,Face,Compact,Mauve 9,1499,2022,4.33,1589,2381911,912,25,81.9,Delhi,Festive Sale,06-04-2025,21-05-2025,Retail (Nykaa),4583449,25,2.53,74.24
P0046,Nykaa Cosmetics,Nykaa Cosmetics Eyeshadow Shine HD,Eyes,Eyeshadow,Ruby 12,699,2020,4.43,1955,1366545,914,32,78.5,Delhi,Nykaa Exclusive,29-06-2024,20-07-2024,Social Commerce,2960971,30,5.6,81.25
P0047,Mamaearth,Mamaearth Lipstick Shine Air,Lips,Lipstick,Champagne 16,1299,2025,4.19,1640,2130360,829,35,63.3,Bengaluru,Seasonal Drop,20-11-2023,04-12-2023,E-commerce,306256,0,5.28,70.62
P0048,Nykaa Cosmetics,Nykaa Cosmetics Lip Gloss Shine Air,Lips,Lip Gloss,Peach 11,599,2025,4,1709,1023691,516,27,85.1,Delhi,Nykaa Exclusive,14-08-2023,21-08-2023,E-commerce,1013547,20,1.83,71.69
P0049,Forest Essentials,Forest Essentials Kajal Pro HD,Eyes,Kajal,Berry 17,999,2022,4.34,1838,1836162,669,27,82.4,Mumbai,Influencer Push,09-08-2025,30-08-2025,E-commerce,2581859,0,5.44,78.71
P0050,Kay Beauty,Kay Beauty Eyeshadow Prime Luxe,Eyes,Eyeshadow,Spice 8,499,2018,4.25,2134,1064866,1241,32,77.1,Pune,Nykaa Exclusive,04-08-2023,25-08-2023,Social Commerce,1484164,0,1.55,78
P0051,Forest Essentials,Forest Essentials Foundation Shine +,Face,Foundation,Berry 6,699,2024,4.29,1480,1034520,471,30,66.9,Ahmedabad,Festive Sale,22-12-2023,05-01-2024,Social Commerce,2638323,0,2.27,78.27
P0052,Kay Beauty,Kay Beauty Lip Gloss Matte Air,Lips,Lip Gloss,Nude 16,599,2020,4.31,2207,1321993,1187,31,65.2,Jaipur,Influencer Push,31-12-2024,07-01-2025,Retail (Store),3929203,10,1.11,80.9
P0053,Sugar Cosmetics,Sugar Cosmetics Contour Matte Luxe,Face,Contour,Nude 20,1299,2018,4.69,1943,2523957,949,27,89.9,Hyderabad,Bogo Offer,08-02-2023,25-03-2023,Retail (Nykaa),1347219,0,6.03,80.45
P0054,Kay Beauty,Kay Beauty Blush Shine Air,Face,Blush,Peach 20,599,2023,4.52,1505,901495,702,32,66,Ahmedabad,Influencer Push,06-05-2024,27-05-2024,Marketplace,1049438,25,5.9,83.77
P0055,Sugar Cosmetics,Sugar Cosmetics Blush Glow Air,Face,Blush,Peach 3,1699,2021,3.94,1680,2854320,922,31,79.5,Bengaluru,Festive Sale,06-08-2024,27-08-2024,Marketplace,899580,10,2.78,73.71
P0056,Mamaearth,Mamaearth Lip Balm Pro X,Lips,Lip Balm,Spice 9,799,2023,4.28,1883,1504517,1104,26,74.5,Delhi,Launch Promo,14-12-2024,28-12-2024,E-commerce,2742258,0,2.57,78.22
P0057,Kay Beauty,Kay Beauty Compact Artist +,Face,Compact,Spice 7,1699,2023,4.39,1458,2477142,542,28,78.5,Kolkata,Launch Promo,16-12-2024,30-12-2024,Retail (Nykaa),4096322,15,3.62,81.12
P0058,Mamaearth,Mamaearth Compact Glow X,Face,Compact,Mauve 14,1199,2023,4.79,1521,1823679,618,20,74.1,Pune,Bogo Offer,05-11-2023,26-11-2023,E-commerce,210308,20,3.77,88.42
P0059,Kay Beauty,Kay Beauty Eyeliner Prime HD,Eyes,Eyeliner,Nude 15,199,2024,4.58,1604,319196,528,26,75.1,Chennai,Nykaa Exclusive,30-08-2024,06-09-2024,E-commerce,3726837,10,6.84,81.71
P0060,Lakmé,Lakmé Compact Artist Air,Face,Compact,Nude 13,799,2023,4.52,1479,1181721,640,36,71.2,Chennai,Bogo Offer,16-04-2025,31-05-2025,E-commerce,600316,10,4.74,84.98
P0061,Kay Beauty,Kay Beauty Kajal Glow X,Eyes,Kajal,Champagne 2,299,2022,4.58,1764,527436,1071,24,65.1,Chennai,Festive Sale,23-04-2025,30-04-2025,E-commerce,1397821,15,5.73,81.39
P0062,Kay Beauty,Kay Beauty Brow Pencil Matte Air,Eyes,Brow Pencil,Rose 17,1299,2021,4.21,1920,2494080,744,26,61.6,Kolkata,Nykaa Exclusive,17-07-2023,31-08-2023,Marketplace,1781098,15,0.92,75.71
P0063,Lakmé,Lakmé Lip Gloss Glow HD,Lips,Lip Gloss,Coral 18,699,2021,3.77,2071,1447629,1327,42,69.2,Pune,Festive Sale,10-06-2025,24-06-2025,E-commerce,3975549,0,0.95,70.32
P0064,Lakmé,Lakmé Kajal Matte HD,Eyes,Kajal,Ruby 14,399,2022,4.29,1728,689472,755,24,79.7,Lucknow,Seasonal Drop,28-07-2024,04-08-2024,Social Commerce,5265392,20,1.26,78.93
P0065,Kay Beauty,Kay Beauty Lip Gloss Shine Luxe,Lips,Lip Gloss,Spice 19,599,2024,4.21,1807,1082393,863,31,79.5,Bengaluru,Launch Promo,11-12-2024,25-01-2025,E-commerce,2843401,15,3.31,76.03
P0066,Sugar Cosmetics,Sugar Cosmetics Mascara Prime X,Eyes,Mascara,Nude 8,2499,2024,4.29,1657,4140843,964,28,67.4,Hyderabad,Nykaa Exclusive,01-08-2025,15-08-2025,Retail (Store),2707128,25,3.01,74.4
P0067,Forest Essentials,Forest Essentials Foundation Matte HD,Face,Foundation,Nude 15,399,2024,4.11,1428,569772,689,26,69.2,Jaipur,Nykaa Exclusive,16-04-2023,16-05-2023,Retail (Store),2100726,30,4.12,71.75
P0068,Nykaa Cosmetics,Nykaa Cosmetics Lip Balm Pro +,Lips,Lip Balm,Mauve 4,399,2019,4.32,2302,918498,901,29,77.8,Jaipur,Festive Sale,10-09-2025,24-09-2025,E-commerce,5083530,20,3.77,85.86
P0069,Sugar Cosmetics,Sugar Cosmetics Compact Glow Luxe,Face,Compact,Scarlet 10,399,2019,4.01,1796,716604,734,26,76.1,Delhi,Bogo Offer,23-02-2024,24-03-2024,E-commerce,3613128,5,2.9,75.92
P0070,Lakmé,Lakmé Brow Pencil Pro X,Eyes,Brow Pencil,Scarlet 14,399,2023,3.91,1690,674310,1018,25,66.8,Bengaluru,Influencer Push,14-07-2024,13-08-2024,E-commerce,4182616,5,2.2,69.25
P0071,Mamaearth,Mamaearth Eyeshadow Artist Luxe,Eyes,Eyeshadow,Mauve 3,599,2018,3.93,2103,1259697,1253,21,88.8,Kolkata,Launch Promo,07-11-2023,21-11-2023,E-commerce,2629772,20,1.64,76.34
P0072,Mamaearth,Mamaearth Lip Liner Glow Air,Lips,Lip Liner,Berry 8,1299,2020,4.45,2171,2820129,1077,30,78.3,Chennai,Influencer Push,07-01-2025,21-02-2025,E-commerce,1743861,5,3.07,81.94
P0073,Forest Essentials,Forest Essentials Lipstick Pro X,Lips,Lipstick,Nude 20,399,2024,4.41,1757,701043,769,25,75,Bengaluru,Seasonal Drop,16-08-2024,30-09-2024,E-commerce,4490115,25,5.54,77.87
P0074,Kay Beauty,Kay Beauty Lip Crayon Prime HD,Lips,Lip Crayon,Coral 3,1699,2025,4.55,1667,2832233,944,40,82.9,Delhi,Nykaa Exclusive,27-04-2024,04-05-2024,Social Commerce,3364903,0,4.11,80.96
P0075,Nykaa Cosmetics,Nykaa Cosmetics Lip Liner Shine Luxe,Lips,Lip Liner,Berry 18,599,2018,4.31,2318,1388482,881,26,65.8,Delhi,Seasonal Drop,20-11-2024,04-01-2025,Retail (Nykaa),1775025,10,1.7,76.67
P0076,Nykaa Cosmetics,Nykaa Cosmetics Eyeliner Pro Air,Eyes,Eyeliner,Scarlet 20,399,2022,4.16,1760,702240,537,21,71,Hyderabad,Seasonal Drop,30-03-2024,14-05-2024,E-commerce,5112092,5,1.29,75.45
P0077,Forest Essentials,Forest Essentials Lip Balm Prime +,Lips,Lip Balm,Ruby 7,499,2020,4.3,2064,1029936,856,30,85.3,Mumbai,Festive Sale,24-05-2024,23-06-2024,Social Commerce,1422346,20,5.02,81.61
P0078,Lakmé,Lakmé Contour Pro X,Face,Contour,Rose 9,849,2022,4.38,1584,1344816,497,38,79.8,Ahmedabad,Launch Promo,20-03-2023,27-03-2023,E-commerce,2798611,0,5.01,77.38
P0079,Kay Beauty,Kay Beauty Brow Pencil Pro HD,Eyes,Brow Pencil,Rose 13,299,2018,3.96,2105,629395,745,23,65.6,Delhi,Bogo Offer,11-02-2025,25-02-2025,E-commerce,573010,30,1.54,75.34
P0080,Lakmé,Lakmé Eyeshadow Pro Luxe,Eyes,Eyeshadow,Berry 14,849,2022,4.63,1773,1505277,515,24,89.4,Kolkata,Bogo Offer,09-06-2023,09-07-2023,E-commerce,333162,0,5.2,85.98
P0081,Kay Beauty,Kay Beauty Lip Crayon Artist Luxe,Lips,Lip Crayon,Mauve 18,1299,2020,4.38,2108,2738292,654,32,85.4,Ahmedabad,Festive Sale,29-05-2023,13-07-2023,E-commerce,5383561,20,4,83.19
P0082,Kay Beauty,Kay Beauty Contour Shine +,Face,Contour,Coral 15,1999,2021,4.1,1722,3442278,666,29,68.9,Chennai,Bogo Offer,19-11-2025,19-12-2025,Retail (Nykaa),4135855,0,2.56,82.99
P0083,Kay Beauty,Kay Beauty Highlighter Pro Luxe,Face,Highlighter,Ruby 3,999,2022,4.57,1634,1632366,568,23,71.3,Chennai,Influencer Push,20-08-2024,03-09-2024,Retail (Store),289407,20,2.35,81.75
P0084,Sugar Cosmetics,Sugar Cosmetics Highlighter Shine +,Face,Highlighter,Berry 15,399,2023,4.4,1566,624834,685,36,60.1,Kolkata,Influencer Push,07-07-2023,14-07-2023,E-commerce,2154259,25,3.8,77.22
P0085,Sugar Cosmetics,Sugar Cosmetics Lip Gloss Matte Luxe,Lips,Lip Gloss,Ruby 2,2999,2022,4.41,1900,5698100,747,23,71.2,Mumbai,Launch Promo,25-04-2024,09-05-2024,E-commerce,430844,25,5.31,77.32
P0086,Kay Beauty,Kay Beauty Eyeliner Matte HD,Eyes,Eyeliner,Spice 15,1699,2023,4.56,1639,2784661,473,30,77.6,Kolkata,Seasonal Drop,16-07-2024,30-08-2024,E-commerce,4449501,5,3.48,79.41
P0087,Forest Essentials,Forest Essentials Brow Pencil Prime Air,Eyes,Brow Pencil,Berry 6,399,2018,4.23,2226,888174,1457,23,68.5,Mumbai,Seasonal Drop,21-06-2025,12-07-2025,E-commerce,4510889,30,2.54,81.17
P0088,Mamaearth,Mamaearth Lip Balm Matte HD,Lips,Lip Balm,Berry 18,1199,2019,4.24,2248,2695352,1024,29,76.8,Lucknow,Festive Sale,06-05-2024,13-05-2024,Retail (Nykaa),5487775,0,4.3,78.12
P0089,Forest Essentials,Forest Essentials Eyeshadow Glow X,Eyes,Eyeshadow,Peach 12,849,2018,4.15,2040,1731960,787,36,89.4,Delhi,Influencer Push,11-08-2025,01-09-2025,E-commerce,4067966,15,1.04,73.08
P0090,Forest Essentials,Forest Essentials Lipstick Prime +,Lips,Lipstick,Coral 16,2499,2021,3.57,2084,5207916,677,26,89.3,Jaipur,Launch Promo,17-08-2025,01-10-2025,E-commerce,1855498,20,0.95,65.2
P0091,Forest Essentials,Forest Essentials Eyeliner Matte HD,Eyes,Eyeliner,Champagne 8,2999,2018,4.28,2218,6651782,888,24,63.2,Kolkata,Launch Promo,14-01-2024,28-01-2024,E-commerce,2577829,0,1.74,77.66
P0092,Kay Beauty,Kay Beauty Brow Pencil Pro +,Eyes,Brow Pencil,Mauve 20,599,2023,4.12,1656,991944,499,26,65.5,Ahmedabad,Influencer Push,18-11-2024,09-12-2024,E-commerce,4173631,30,4.31,74.18
P0093,Kay Beauty,Kay Beauty Foundation Shine Air,Face,Foundation,Peach 13,249,2019,4.25,1782,443718,680,32,75.8,Pune,Festive Sale,18-10-2025,02-12-2025,Marketplace,1960580,5,5.3,78.36
P0094,Kay Beauty,Kay Beauty Eyeliner Matte X,Eyes,Eyeliner,Peach 2,299,2024,4.19,1593,476307,923,29,72.6,Ahmedabad,Nykaa Exclusive,31-07-2025,14-08-2025,Retail (Store),3356435,15,2.34,74.98
P0095,Forest Essentials,Forest Essentials Highlighter Glow X,Face,Highlighter,Berry 16,249,2020,4.18,1706,424794,872,29,85.1,Delhi,Nykaa Exclusive,30-05-2024,13-06-2024,Retail (Nykaa),1755624,5,0.86,79.45
P0096,Mamaearth,Mamaearth Foundation Pro HD,Face,Foundation,Coral 19,199,2024,3.97,1419,282381,726,23,72.4,Jaipur,Nykaa Exclusive,18-08-2024,25-08-2024,E-commerce,3800040,30,1.51,71.9
P0097,Kay Beauty,Kay Beauty Lip Crayon Glow +,Lips,Lip Crayon,Nude 9,1499,2025,4.07,1696,2542304,522,33,63.4,Pune,Bogo Offer,06-11-2024,13-11-2024,E-commerce,160779,10,1.82,69.88
P0098,Sugar Cosmetics,Sugar Cosmetics Foundation Matte HD,Face,Foundation,Berry 8,249,2022,4.49,1602,398898,856,27,83.8,Mumbai,Nykaa Exclusive,17-02-2025,03-03-2025,Retail (Nykaa),3527937,5,2.31,80.37
P0099,Nykaa Cosmetics,Nykaa Cosmetics Lip Balm Pro Air,Lips,Lip Balm,Champagne 4,299,2023,4.35,1850,553150,866,33,73,Jaipur,Launch Promo,20-10-2024,03-11-2024,E-commerce,973285,30,3.27,80.83
P0100,Nykaa Cosmetics,Nykaa Cosmetics Lip Liner Shine HD,Lips,Lip Liner,Spice 12,249,2020,4.6,2140,532860,1050,32,60.1,Mumbai,Seasonal Drop,30-12-2024,20-01-2025,E-commerce,1602029,30,3.28,82.51
P0101,Kay Beauty,Kay Beauty Eyeshadow Shine Luxe,Eyes,Eyeshadow,Ruby 17,1499,2022,4.37,1740,2608260,731,29,66.6,Bengaluru,Seasonal Drop,17-01-2024,24-01-2024,E-commerce,558359,15,1.49,79.56
P0102,Kay Beauty,Kay Beauty Lip Crayon Artist HD,Lips,Lip Crayon,Rose 8,1299,2023,3.76,1912,2483688,948,22,81.6,Lucknow,Bogo Offer,03-06-2024,10-06-2024,Retail (Nykaa),364585,5,0.51,73.4
P0103,Nykaa Cosmetics,Nykaa Cosmetics Mascara Matte X,Eyes,Mascara,Berry 18,499,2019,4.68,1943,969557,879,25,88.3,Pune,Launch Promo,21-07-2023,04-08-2023,Social Commerce,3397623,15,2.1,85.5
P0104,Forest Essentials,Forest Essentials Highlighter Artist +,Face,Highlighter,Rose 9,1299,2020,4.03,1752,2275848,1103,28,70.3,Pune,Launch Promo,04-10-2023,25-10-2023,E-commerce,3737290,5,1.75,71.08
P0105,Lakmé,Lakmé Eyeliner Prime HD,Eyes,Eyeliner,Nude 12,1999,2023,4.28,1683,3364317,919,26,79.4,Mumbai,Launch Promo,12-07-2024,11-08-2024,E-commerce,2739851,10,0.82,81.65
P0106,Sugar Cosmetics,Sugar Cosmetics Lip Balm Prime Luxe,Lips,Lip Balm,Ruby 12,599,2021,4.18,2074,1242326,839,28,88.9,Bengaluru,Nykaa Exclusive,29-12-2023,19-01-2024,E-commerce,231579,20,2.8,75.36
P0107,Mamaearth,Mamaearth Lip Gloss Shine Air,Lips,Lip Gloss,Mauve 5,299,2024,4.59,1867,558233,822,29,70.2,Chennai,Bogo Offer,01-11-2023,16-12-2023,Retail (Nykaa),3909985,25,3.99,79.52
P0108,Sugar Cosmetics,Sugar Cosmetics Lip Balm Artist Luxe,Lips,Lip Balm,Peach 12,1199,2022,4.08,1923,2305677,1081,38,74.7,Hyderabad,Launch Promo,14-04-2023,21-04-2023,Retail (Store),2502747,20,1.22,72.36
P0109,Forest Essentials,Forest Essentials Eyeliner Artist HD,Eyes,Eyeliner,Peach 2,1199,2021,4.16,1895,2272105,1173,27,80.4,Hyderabad,Festive Sale,01-06-2025,22-06-2025,Retail (Nykaa),603714,20,2.89,76.04
P0110,Sugar Cosmetics,Sugar Cosmetics Lip Crayon Glow X,Lips,Lip Crayon,Nude 18,2999,2024,3.82,1796,5386204,678,33,86.8,Mumbai,Seasonal Drop,18-03-2024,02-05-2024,Retail (Nykaa),3233709,30,0.47,70.46
P0111,Mamaearth,Mamaearth Eyeshadow Glow +,Eyes,Eyeshadow,Mauve 16,1299,2023,4.08,1788,2322612,511,24,80.3,Ahmedabad,Seasonal Drop,08-10-2024,29-10-2024,Retail (Store),4354800,20,1.2,77.36
P0112,Kay Beauty,Kay Beauty Blush Glow +,Face,Blush,Ruby 9,249,2018,4.49,1903,473847,1166,24,84.2,Lucknow,Festive Sale,14-02-2023,31-03-2023,E-commerce,4967922,20,1.65,80.32
